reading,voltage,LED_temp,photo_temp,mode,concentration
0.0,0.04931035,24.42108,24.28131,none,20
2.5e-06,0.04931035,24.42108,24.28131,none,20
5e-06,0.05563218,24.42108,24.28131,none,20
7.5e-06,0.05563218,24.42108,24.28131,none,20
1e-05,0.05563218,24.42108,24.28131,none,20
1.25e-05,0.0464023,24.42108,24.28131,none,20
1.5e-05,0.05816092,24.42108,24.28131,none,20
1.75e-05,0.05816092,24.42108,24.28131,none,20
2e-05,0.05816092,24.42108,24.28131,none,20
2.25e-05,0.04539081,24.42108,24.28131,none,20
2.5e-05,0.04539081,24.42108,24.28131,none,20
2.75e-05,0.05828735,24.42108,24.28131,none,20
3e-05,0.05828735,24.42108,24.28131,none,20
3.25e-05,0.04690805,24.42108,24.28131,none,20
3.5e-05,0.04690805,24.42108,24.28131,none,20
3.75e-05,0.05601149,24.42108,24.28131,none,20
4e-05,0.05601149,24.42108,24.28131,none,20
4.25e-05,0.04918391,24.42108,24.28131,none,20
4.5e-05,0.05360919,24.42108,24.28131,none,20
4.75e-05,0.05360919,24.42108,24.28131,none,20
5e-05,0.5224368,24.28131,24.28131,1550,20
5.25e-05,0.5224368,24.28131,24.28131,1550,20
5.5e-05,0.5224368,24.28131,24.28131,1550,20
5.75e-05,0.4936092,24.28131,24.28131,1550,20
6e-05,0.4936092,24.28131,24.28131,1550,20
6.25e-05,0.4936092,24.28131,24.28131,1550,20
6.5e-05,0.5902069,24.28131,24.28131,1550,20
6.75e-05,0.5902069,24.28131,24.28131,1550,20
7e-05,0.5902069,24.28131,24.28131,1550,20
7.25e-05,0.6479885,24.28131,24.28131,1550,20
7.5e-05,0.6479885,24.28131,24.28131,1550,20
7.75e-05,0.6479885,24.28131,24.28131,1550,20
8e-05,0.5008161,24.28131,24.28131,1550,20
8.25e-05,0.5008161,24.28131,24.28131,1550,20
8.5e-05,0.5008161,24.28131,24.28131,1550,20
8.75e-05,0.5594828,24.28131,24.28131,1550,20
9e-05,0.5594828,24.28131,24.28131,1550,20
9.25e-05,0.5880575,24.28131,24.28131,1550,20
9.500001e-05,0.5880575,24.28131,24.28131,1550,20
9.75e-05,0.5880575,24.28131,24.28131,1550,20
0.0001,0.5072644,24.28131,24.28131,1550,20
0.0001025,0.5072644,24.28131,24.28131,1550,20
0.000105,0.5072644,24.28131,24.28131,1550,20
0.0001075,0.6493793,24.28131,24.28131,1550,20
0.00011,0.6493793,24.28131,24.28131,1550,20
