reading,voltage,LED_temp,photo_temp,mode,concentration
0.0,0.0488046,25.1895,24.28131,none,50
2.5e-06,0.0488046,25.1895,24.28131,none,50
5e-06,0.04475862,25.1895,24.28131,none,50
7.5e-06,0.04475862,25.1895,24.28131,none,50
1e-05,0.04475862,25.1895,24.28131,none,50
1.25e-05,0.0694138,25.1895,24.28131,none,50
1.5e-05,0.04855172,25.1895,24.28131,none,50
1.75e-05,0.04855172,25.1895,24.28131,none,50
2e-05,0.04855172,25.1895,24.28131,none,50
2.25e-05,0.05828735,25.1895,24.28131,none,50
2.5e-05,0.05828735,25.1895,24.28131,none,50
2.75e-05,0.05765517,25.1895,24.28131,none,50
3e-05,0.05765517,25.1895,24.28131,none,50
3.25e-05,0.05285057,25.1895,24.28131,none,50
3.5e-05,0.05285057,25.1895,24.28131,none,50
3.75e-05,0.06536781,25.1895,24.28131,none,50
4e-05,0.06536781,25.1895,24.28131,none,50
4.25e-05,0.04931035,25.1895,24.28131,none,50
4.5e-05,0.06777012,25.1895,24.28131,none,50
4.75e-05,0.06777012,25.1895,24.28131,none,50
5e-05,0.4028275,25.11966,24.28131,1550,50
5.25e-05,0.4028275,25.11966,24.28131,1550,50
5.5e-05,0.4028275,25.11966,24.28131,1550,50
5.75e-05,0.3033218,25.11966,24.28131,1550,50
6e-05,0.3033218,25.11966,24.28131,1550,50
6.25e-05,0.3033218,25.11966,24.28131,1550,50
6.5e-05,0.3909426,25.11966,24.28131,1550,50
6.75e-05,0.3909426,25.11966,24.28131,1550,50
7e-05,0.3909426,25.11966,24.28131,1550,50
7.25e-05,0.1847241,25.11966,24.28131,1550,50
7.5e-05,0.1847241,25.11966,24.28131,1550,50
7.75e-05,0.1847241,25.11966,24.28131,1550,50
8e-05,0.2580575,25.11966,24.28131,1550,50
8.25e-05,0.2580575,25.11966,24.28131,1550,50
8.5e-05,0.2580575,25.11966,24.28131,1550,50
8.75e-05,0.406115,25.11966,24.28131,1550,50
9e-05,0.406115,25.11966,24.28131,1550,50
9.25e-05,0.184977,25.11966,24.28131,1550,50
9.500001e-05,0.184977,25.11966,24.28131,1550,50
9.75e-05,0.184977,25.11966,24.28131,1550,50
0.0001,0.3913218,25.11966,24.28131,1550,50
0.0001025,0.3913218,25.11966,24.28131,1550,50
0.000105,0.3913218,25.11966,24.28131,1550,50
0.0001075,0.345931,25.11966,24.28131,1550,50
0.00011,0.345931,25.11966,24.28131,1550,50
0.0001125,0.345931,25.11966,24.28131,1550,50
0.000115,0.1787816,25.11966,24.28131,1550,50
0.0001175,0.1787816,25.11966,24.28131,1550,50
0.00012,0.1787816,25.11966,24.28131,1550,50
0.0001225,0.3584483,25.11966,24.28131,1550,50
0.000125,0.3584483,25.11966,24.28131,1550,50
0.0001275,0.3584483,25.11966,24.28131,1550,50
0.00013,0.3708391,25.11966,24.28131,1550,50
0.0001325,0.3708391,25.11966,24.28131,1550,50
0.000135,0.3708391,25.11966,24.28131,1550,50
0.0001375,0.176,25.11966,24.28131,1550,50
0.00014,0.176,25.11966,24.28131,1550,50
0.0001425,0.176,25.11966,24.28131,1550,50
0.000145,0.3168506,25.11966,24.28131,1550,50
0.0001475,0.3168506,25.11966,24.28131,1550,50
0.00015,0.3168506,25.11966,24.28131,1550,50
0.0001525,0.391069,25.11966,24.28131,1550,50
0.000155,0.391069,25.11966,24.28131,1550,50
0.0001575,0.391069,25.11966,24.28131,1550,50
0.00016,0.1802989,25.11966,24.28131,1550,50
0.0001625,0.1802989,25.11966,24.28131,1550,50
0.000165,0.1802989,25.11966,24.28131,1550,50
0.0001675,0.2763908,25.11966,24.28131,1550,50
0.00017,0.2763908,25.11966,24.28131,1550,50
0.0001725,0.2964942,25.11966,24.28131,1550,50
0.000175,0.4877931,25.25934,24.28131,1200,50
0.0001775,0.4877931,25.25934,24.28131,1200,50
0.00018,0.4877931,25.25934,24.28131,1200,50
0.0001825,0.5897011,25.25934,24.28131,1200,50
0.000185,0.5897011,25.25934,24.28131,1200,50
0.0001875,0.5897011,25.25934,24.28131,1200,50
0.00019,0.4346896,25.25934,24.28131,1200,50
0.0001925,0.4346896,25.25934,24.28131,1200,50
0.000195,0.4346896,25.25934,24.28131,1200,50
0.0001975,0.6105632,25.25934,24.28131,1200,50
0.0002,0.6105632,25.25934,24.28131,1200,50
0.0002025,0.6105632,25.25934,24.28131,1200,50
0.000205,0.6258621,25.25934,24.28131,1200,50
0.0002075,0.6258621,25.25934,24.28131,1200,50
0.00021,0.6258621,25.25934,24.28131,1200,50
0.0002125,0.4239425,25.25934,24.28131,1200,50
0.000215,0.4239425,25.25934,24.28131,1200,50
0.0002175,0.4239425,25.25934,24.28131,1200,50
0.00022,0.5738965,25.25934,24.28131,1200,50
0.0002225,0.5738965,25.25934,24.28131,1200,50
0.000225,0.5738965,25.25934,24.28131,1200,50
0.0002275,0.6386322,25.25934,24.28131,1200,50
0.00023,0.6386322,25.25934,24.28131,1200,50
0.0002325,0.6386322,25.25934,24.28131,1200,50
0.000235,0.4344368,25.25934,24.28131,1200,50
0.0002375,0.4344368,25.25934,24.28131,1200,50
0.00024,0.4344368,25.25934,24.28131,1200,50
0.0002425,0.5233218,25.25934,24.28131,1200,50
0.000245,0.5233218,25.25934,24.28131,1200,50
0.0002475,0.5233218,25.25934,24.28131,1200,50
0.00025,0.6569655,25.25934,24.28131,1200,50
0.0002525,0.6569655,25.25934,24.28131,1200,50
0.000255,0.6569655,25.25934,24.28131,1200,50
0.0002575,0.4479655,25.25934,24.28131,1200,50
0.00026,0.4479655,25.25934,24.28131,1200,50
0.0002625,0.4479655,25.25934,24.28131,1200,50
0.000265,0.495885,25.25934,24.28131,1200,50
0.0002675,0.495885,25.25934,24.28131,1200,50
0.00027,0.495885,25.25934,24.28131,1200,50
0.0002725,0.6591149,25.25934,24.28131,1200,50
0.000275,0.6591149,25.25934,24.28131,1200,50
0.0002775,0.6591149,25.25934,24.28131,1200,50
0.00028,0.4864023,25.25934,24.28131,1200,50
0.0002825,0.4864023,25.25934,24.28131,1200,50
0.000285,0.4864023,25.25934,24.28131,1200,50
0.0002875,0.4679425,25.25934,24.28131,1200,50
0.00029,0.4679425,25.25934,24.28131,1200,50
0.0002925,0.4679425,25.25934,24.28131,1200,50
0.000295,0.666954,25.25934,24.28131,1200,50
0.0002975,0.666954,25.25934,24.28131,1200,50
0.0003,0.8161494,25.1895,24.28131,both,50
0.0003025,0.8161494,25.1895,24.28131,both,50
0.000305,0.8161494,25.1895,24.28131,both,50
0.0003075,0.7165173,25.1895,24.28131,both,50
0.00031,0.7165173,25.1895,24.28131,both,50
0.0003125,0.9202069,25.1895,24.28131,both,50
0.0003150001,0.9202069,25.1895,24.28131,both,50
0.0003175,0.7142414,25.1895,24.28131,both,50
0.00032,0.7142414,25.1895,24.28131,both,50
0.0003225,0.9274137,25.1895,24.28131,both,50
0.000325,0.708046,25.1895,24.28131,both,50
0.0003275,0.708046,25.1895,24.28131,both,50
0.00033,0.708046,25.1895,24.28131,both,50
0.0003325,0.939046,25.1895,24.28131,both,50
0.000335,0.939046,25.1895,24.28131,both,50
0.0003375,0.6976781,25.1895,24.28131,both,50
0.00034,0.6976781,25.1895,24.28131,both,50
0.0003425,0.9376552,25.1895,24.28131,both,50
0.000345,0.9376552,25.1895,24.28131,both,50
0.0003475,0.7022299,25.1895,24.28131,both,50
0.00035,0.7022299,25.1895,24.28131,both,50
0.0003525,0.9336091,25.1895,24.28131,both,50
0.000355,0.9336091,25.1895,24.28131,both,50
0.0003575,0.7005862,25.1895,24.28131,both,50
0.00036,0.7005862,25.1895,24.28131,both,50
0.0003625,0.9391724,25.1895,24.28131,both,50
0.000365,0.9391724,25.1895,24.28131,both,50
0.0003675,0.6951494,25.1895,24.28131,both,50
0.00037,0.6951494,25.1895,24.28131,both,50
0.0003725,0.939046,25.1895,24.28131,both,50
0.000375,0.939046,25.1895,24.28131,both,50
0.0003775,0.7007126,25.1895,24.28131,both,50
0.00038,0.7007126,25.1895,24.28131,both,50
0.0003825,0.9355058,25.1895,24.28131,both,50
0.000385,0.9355058,25.1895,24.28131,both,50
0.0003875,0.7026092,25.1895,24.28131,both,50
0.00039,0.7026092,25.1895,24.28131,both,50
0.0003925,0.9337357,25.1895,24.28131,both,50
0.000395,0.9337357,25.1895,24.28131,both,50
0.0003975,0.7027356,25.1895,24.28131,both,50
0.0004,0.7027356,25.1895,24.28131,both,50
0.0004025001,0.9381609,25.1895,24.28131,both,50
0.000405,0.9381609,25.1895,24.28131,both,50
0.0004075,0.6997011,25.1895,24.28131,both,50
0.00041,0.6997011,25.1895,24.28131,both,50
0.0004125,0.9363908,25.1895,24.28131,both,50
0.000415,0.9363908,25.1895,24.28131,both,50
0.0004175,0.7076666,25.1895,24.28131,both,50
0.00042,0.7076666,25.1895,24.28131,both,50
0.0004225,0.9285518,25.1895,24.28131,both,50
